customer_id,revenue,most_recent_visit,number_of_orders,recency_days
13164,914,2006-11-02,11,60
16765,1193,2006-09-07,14,116
9861,1181,2006-07-05,12,180
22519,1257,2006-11-26,14,36
25791,640,2006-05-09,7,237
13590,1126,2006-08-21,10,133
2268,1030,2006-10-11,10,82
37800,779,2006-08-11,9,143
6939,1122,2006-08-09,8,145
36830,1235,2006-10-18,10,75
35426,1189,2006-11-29,13,33
26442,700,2006-05-30,9,216
3015,801,2006-02-16,7,319
35745,843,2006-10-07,8,86
30326,1249,2006-12-25,15,7
26766,923,2006-06-11,9,204
32130,1452,2006-05-29,10,217
1871,1873,2006-11-01,16,61
16077,1385,2006-12-07,14,25
19985,1535,2006-11-02,15,60
15620,907,2005-11-05,9,422
8688,492,2006-08-25,7,129
37508,1362,2006-07-03,12,182
21323,1022,2006-11-23,10,39
22628,233,2006-05-16,4,230
5063,1006,2006-05-13,13,233
25689,1365,2006-10-04,15,89
22074,892,2006-11-27,10,35
10201,715,2006-08-10,8,144
25262,814,2006-08-31,9,123
8152,809,2006-01-05,9,361
4947,551,2006-02-25,8,310
13423,423,2005-08-27,5,492
29887,661,2006-06-10,9,205
7096,1271,2006-02-26,10,309
20470,694,2006-07-27,10,158
2744,248,2006-05-04,2,242
455,1372,2006-03-11,14,296
32649,652,2006-09-17,8,106
38329,610,2006-12-06,9,26
2696,1265,2006-07-25,14,160
15111,1493,2006-11-07,16,55
28248,703,2006-10-21,10,72
29043,1477,2006-12-24,12,8
26607,741,2006-07-20,9,165
21714,1233,2006-07-11,12,174
30357,694,2006-11-15,9,47
11625,444,2006-04-30,5,246
15807,1460,2006-11-18,14,44
12056,438,2006-08-24,4,130
19761,754,2006-06-15,7,200
32856,1786,2006-07-04,20,181
8665,751,2006-11-10,8,52
32655,1160,2006-04-12,11,264
36985,1584,2006-11-29,16,33
24470,822,2006-10-18,12,75
28021,1342,2006-08-05,15,149
7180,871,2006-10-20,7,73
4821,730,2006-09-04,8,119
7572,950,2006-09-22,11,101
14284,903,2006-11-27,14,35
8049,660,2005-10-24,6,434
2938,551,2006-11-25,9,37
34306,1098,2006-07-19,10,166
7993,735,2006-11-05,11,57
10367,966,2006-09-17,11,106
19979,404,2006-10-03,5,90
20860,506,2006-03-27,6,280
6763,549,2006-10-02,7,91
31876,666,2006-02-12,8,323
17136,761,2006-08-15,8,139
13817,508,2005-09-24,7,464
33839,604,2006-11-16,8,46
36401,365,2005-08-30,5,489
13225,286,2005-08-14,3,505
11021,1675,2006-10-06,11,87
39753,555,2006-01-11,6,355
23558,1001,2005-10-08,7,450
4081,1003,2005-09-28,12,460
24478,1146,2006-06-20,11,195
746,1054,2006-09-11,12,112
34857,1272,2006-12-27,12,5
33786,956,2006-07-03,12,182
4503,1149,2006-11-05,12,57
7093,908,2006-02-19,10,316
13218,962,2006-10-03,10,90
2033,775,2006-11-02,10,60
16494,629,2006-06-30,8,185
18270,481,2006-05-09,6,237
10119,746,2006-10-05,11,88
28655,1179,2006-07-07,16,178
26628,1440,2006-10-02,15,91
17142,676,2006-06-17,8,198
22635,820,2006-04-05,8,271
19944,655,2006-10-29,9,64
27395,646,2006-06-05,9,210
11501,596,2005-09-20,7,468
38562,847,2006-07-20,8,165
21813,803,2006-05-21,8,225
16683,1047,2006-10-19,12,74
28396,903,2006-10-09,8,84
25490,565,2005-08-08,6,511
21294,367,2005-08-25,7,494
16437,884,2006-09-17,8,106
29188,1070,2006-02-22,10,313
32282,659,2005-10-26,7,432
10003,732,2006-07-11,10,174
20238,673,2006-03-30,8,277
22995,722,2006-06-22,8,193
39706,1559,2006-03-24,15,283
38086,440,2006-04-04,5,272
20996,1081,2006-09-26,13,97
17155,1720,2006-12-21,19,11
3652,694,2006-05-03,9,243
27512,653,2006-06-09,7,206
265,1173,2005-09-13,10,475
33760,1115,2006-06-28,13,187
23007,321,2005-08-20,3,499
23654,1013,2006-10-19,13,74
28588,1034,2006-11-07,11,55
37324,893,2006-08-10,9,144
28649,1217,2006-07-11,10,174
4311,569,2006-07-27,6,158
16627,388,2005-09-17,4,471
36718,1299,2005-09-10,9,478
24228,1263,2006-12-03,14,29
33185,1262,2005-12-20,11,377
11311,1042,2006-06-05,11,210
7990,695,2006-07-14,10,171
31303,832,2006-05-02,10,244
19348,642,2006-05-24,9,222
10824,1015,2006-08-08,12,146
22796,484,2006-07-11,6,174
23617,1233,2006-11-06,13,56
15479,1358,2006-10-25,14,68
20695,1187,2006-08-28,11,126
33798,1211,2006-07-01,14,184
17619,804,2006-09-23,8,100
16115,635,2005-06-03,4,577
30655,847,2006-09-14,13,109
1529,1189,2006-09-27,12,96
15809,978,2006-07-26,8,159
9515,824,2006-05-21,9,225
25582,943,2006-06-11,10,204
16193,1069,2006-07-05,10,180
17626,960,2006-07-07,9,178
37308,929,2006-05-13,8,233
9764,1133,2006-04-27,11,249
13864,474,2006-10-13,7,80
9130,905,2006-02-19,12,316
27457,920,2006-03-23,10,284
34351,546,2006-08-16,7,138
5604,940,2006-11-26,10,36
5756,518,2005-06-29,6,551
19030,957,2006-07-01,11,184
11141,707,2005-07-25,6,525
20802,1627,2006-12-27,14,5
29585,1024,2006-10-04,10,89
39014,723,2006-03-20,7,287
29991,822,2006-08-03,10,151
12929,1372,2006-09-06,12,117
3263,1111,2006-11-28,12,34
6380,628,2006-08-04,8,150
27515,885,2006-06-17,12,198
4097,1292,2006-11-21,14,41
30171,1323,2006-09-07,11,116
34509,727,2006-07-19,7,166
39239,1127,2006-10-26,15,67
3790,595,2006-08-25,9,129
32186,1215,2006-09-02,13,121
5021,757,2006-11-02,8,60
11551,1280,2006-08-27,14,127
27534,287,2005-10-10,4,448
11208,938,2006-08-27,13,127
18253,846,2006-08-12,12,142
8172,1324,2006-07-06,15,179
19755,834,2006-07-05,10,180
30975,629,2006-05-30,4,216
8740,1082,2006-11-30,14,32
36839,782,2006-06-26,9,189
17268,1125,2006-07-07,10,178
11470,1302,2006-08-14,13,140
14526,505,2005-07-28,5,522
26880,671,2006-07-05,10,180
38413,1232,2006-09-29,14,94
36054,1006,2006-06-04,7,211
987,892,2005-09-21,10,467
20934,1159,2006-12-11,10,21
22741,922,2006-04-20,9,256
36886,1316,2006-07-17,12,168
18271,1307,2006-08-23,13,131
1919,1007,2006-08-09,10,145
22427,528,2006-12-01,6,31
29789,703,2006-07-03,6,182
6920,182,2006-04-25,3,251
23516,683,2005-11-17,6,410
364,1104,2006-10-19,11,74
8717,941,2006-11-19,11,43
11522,1393,2006-11-22,12,40
23532,401,2005-08-11,7,508
15371,1353,2006-05-08,16,238
4707,1126,2006-09-18,10,105
24972,1212,2005-11-27,12,400
30245,830,2006-10-11,9,82
17714,1088,2006-07-04,9,181
6430,1401,2006-10-13,17,80
6750,976,2006-07-31,12,154
14506,1395,2006-02-14,14,321
15142,793,2006-07-24,8,161
34501,1324,2006-11-28,15,34
26213,868,2006-08-22,11,132
15215,968,2006-01-01,10,365
430,1076,2006-11-12,10,50
29227,322,2005-07-02,5,548
22614,175,2006-02-16,4,319
36846,977,2006-02-10,10,325
23020,644,2006-10-12,8,81
36831,762,2006-11-18,7,44
5386,1584,2006-05-15,12,231
19223,1093,2006-10-27,13,66
2493,764,2006-11-15,10,47
1492,1315,2006-06-05,10,210
12639,743,2006-06-18,8,197
8256,1045,2006-10-10,12,83
32020,1224,2006-01-18,11,348
16619,1055,2006-07-01,11,184
12604,635,2006-08-15,7,139
7956,1416,2006-11-03,13,59
38167,309,2006-09-02,6,121
33178,764,2006-08-25,10,129
33619,508,2006-11-16,7,46
1025,753,2006-09-01,7,122
18147,595,2006-09-26,7,97
34421,778,2006-06-20,10,195
26089,1674,2006-12-28,13,4
34946,1493,2006-08-11,17,143
14769,396,2005-08-06,9,513
34128,1197,2006-05-21,12,225
26419,772,2006-12-02,11,30
4003,1337,2006-11-04,9,58
7749,1093,2006-02-23,10,312
25825,1184,2006-11-30,13,32
18297,867,2006-12-25,9,7
16314,1335,2006-10-18,14,75
16096,716,2006-07-26,10,159
14251,1113,2006-10-19,14,74
35629,670,2005-12-08,10,389
21332,526,2005-11-04,6,423
13560,1108,2006-08-11,12,143
28457,551,2005-06-15,5,565
8168,533,2006-11-17,7,45
34928,880,2006-04-17,6,259
3345,1132,2006-03-22,12,285
18516,753,2006-07-07,6,178
32397,927,2006-09-15,12,108
7455,1247,2006-07-23,9,162
28930,832,2006-06-22,8,193
5623,1211,2006-12-11,12,21
30901,853,2006-12-10,10,22
20200,861,2006-07-15,11,170
14326,1234,2006-09-16,13,107
35982,560,2005-12-15,8,382
13761,975,2006-09-28,8,95
17732,582,2006-11-20,6,42
37648,1270,2006-08-15,15,139
31785,883,2006-07-06,10,179
22718,837,2006-07-01,12,184
10109,1873,2006-11-10,19,52
30953,1021,2006-06-06,10,209
15330,1001,2006-06-28,10,187
22410,492,2006-09-09,5,114
16570,847,2006-08-25,13,129
10740,1147,2006-11-16,16,46
16030,791,2006-05-16,8,230
29259,907,2006-06-04,9,211
24453,1061,2006-12-24,13,8
29335,1909,2006-05-26,18,220
23531,560,2006-08-27,7,127
28683,1457,2006-04-22,13,254
4190,939,2006-08-18,10,136
6404,803,2006-07-12,8,173
6518,1124,2006-05-15,13,231
15594,1225,2006-10-14,14,79
38953,699,2005-10-08,8,450
35781,1731,2006-09-25,15,98
25745,621,2006-11-27,8,35
26928,1295,2006-12-09,15,23
3969,637,2006-10-23,8,70
39402,1208,2006-11-17,14,45
18748,791,2006-05-21,8,225
32129,747,2006-08-08,9,146
21637,928,2006-07-02,8,183
16257,462,2005-08-06,6,513
37715,497,2006-02-05,5,330
5880,1468,2006-07-07,13,178
10893,377,2006-07-26,4,159
10360,652,2006-08-27,6,127
7765,811,2006-03-09,9,298
27721,1224,2005-12-31,12,366
23046,706,2006-07-02,8,183
9755,884,2006-10-26,11,67
29549,873,2006-10-09,7,84
2994,1006,2006-12-05,8,27
21400,356,2006-04-12,7,264
39217,884,2006-04-14,9,262
37156,1762,2006-10-20,19,73
10574,1278,2006-10-21,11,72
18645,1409,2006-09-03,12,120
38159,675,2006-09-27,9,96
8056,943,2006-06-10,13,205
37838,663,2006-12-08,8,24
3762,1236,2006-11-10,11,52
37017,946,2006-05-31,8,215
4778,949,2006-05-01,8,245
16640,1340,2006-07-29,13,156
21509,371,2006-07-10,7,175
22846,1207,2006-07-03,12,182
11707,941,2006-06-02,11,213
3924,757,2006-06-04,8,211
23771,1000,2005-12-06,9,391
33527,1345,2006-07-07,15,178
16111,1506,2006-11-03,14,59
30829,971,2006-07-12,10,173
2733,1116,2006-12-13,9,19
30375,850,2006-08-30,9,124
33456,356,2006-09-21,8,102
15580,839,2006-09-09,11,114
2812,735,2006-10-12,7,81
30332,491,2006-07-20,7,165
25517,1117,2006-10-15,11,78
9589,959,2006-11-06,10,56
3084,707,2006-11-15,9,47
2419,1118,2005-11-01,16,426
13236,553,2005-10-25,7,433
31338,636,2006-01-17,6,349
19430,579,2006-10-03,7,90
14808,303,2006-11-17,6,45
23397,1446,2006-11-06,13,56
2327,996,2006-09-20,10,103
39683,295,2006-01-30,3,336
191,1305,2006-07-07,11,178
20763,1198,2006-09-28,11,95
33548,2076,2006-09-30,17,93
21543,1064,2006-09-21,12,102
13178,1940,2006-05-01,15,245
4893,865,2006-11-05,11,57
24721,353,2006-09-20,5,103
37842,894,2006-08-08,10,146
27426,589,2005-10-09,9,449
11718,994,2006-12-06,9,26
37192,853,2006-11-16,11,46
7593,1642,2006-11-09,12,53
8382,914,2006-02-09,9,326
29011,1307,2006-09-20,14,103
16042,771,2006-09-07,8,116
10970,1128,2005-09-13,10,475
101,1284,2006-08-24,16,130
7885,778,2006-06-07,11,208
5162,434,2006-09-04,7,119
31416,751,2006-05-07,10,239
1286,890,2005-07-21,11,529
33775,866,2006-12-30,8,2
8884,387,2006-04-13,4,263
18298,1674,2006-12-15,15,17
21865,1011,2006-09-18,9,105
39586,1420,2006-07-13,12,172
11950,633,2006-10-24,9,69
16840,1604,2006-12-26,13,6
6030,892,2006-08-07,8,147
16302,1061,2006-10-28,12,65
10815,1031,2006-09-12,13,111
3724,919,2006-11-13,9,49
6578,1463,2006-05-11,15,235
10784,1234,2006-10-07,9,86
9028,1072,2006-11-10,13,52
5483,529,2006-11-05,6,57
10548,901,2006-12-03,7,29
8170,1078,2006-08-06,8,148
33036,662,2006-09-16,7,107
13896,849,2006-08-10,9,144
29391,1287,2006-05-30,10,216
26405,873,2006-03-22,8,285
3445,1401,2006-12-23,14,9
24613,1195,2006-12-15,15,17
18101,966,2006-08-28,10,126
14677,1289,2006-10-31,10,62
13152,2083,2006-08-04,17,150
27986,994,2006-05-25,10,221
11987,1130,2006-02-07,10,328
30431,413,2006-07-25,6,160
36206,385,2006-11-24,7,38
20933,501,2006-10-08,6,85
2981,813,2005-11-21,9,406
38664,669,2006-12-22,10,10
9738,889,2006-02-03,8,332
20670,770,2006-02-25,7,310
31034,592,2006-09-06,8,117
30406,998,2006-07-30,12,155
7860,882,2006-03-08,12,299
21122,1623,2005-09-23,12,465
38651,1187,2006-07-10,12,175
31256,246,2006-01-12,4,354
19984,1274,2006-09-03,13,120
27532,424,2005-12-03,7,394
17778,670,2006-09-01,9,122
148,1134,2006-05-08,13,238
23962,684,2006-11-29,7,33
18117,565,2006-09-01,7,122
34345,818,2006-11-12,10,50
29013,703,2005-10-27,6,431
10669,1493,2006-09-03,14,120
17594,519,2006-04-12,5,264
2229,1722,2006-07-20,19,165
19435,428,2006-08-28,5,126
11888,1459,2006-10-25,12,68
24924,1387,2006-06-29,11,186
36629,876,2006-09-03,9,120
14772,1170,2006-09-04,12,119
31200,171,2005-09-26,3,462
27894,593,2006-08-19,6,135
21702,653,2006-09-14,7,109
4209,928,2006-07-22,12,163
7958,1047,2006-07-10,13,175
2473,449,2006-01-08,5,358
20343,945,2006-12-27,14,5
14421,286,2006-07-14,4,171
35798,1444,2006-12-26,18,6
17811,1182,2006-08-07,10,147
21065,416,2006-10-06,6,87
24144,817,2006-02-05,7,330
38714,366,2006-10-31,8,62
25498,416,2006-10-06,6,87
6305,278,2006-05-06,4,240
34082,725,2006-05-18,11,228
291,1444,2006-10-27,14,66
24196,937,2006-09-29,10,94
5300,339,2006-01-01,4,365
13081,1191,2006-06-02,12,213
6181,926,2006-05-28,10,218
25026,950,2005-07-25,8,525
9434,822,2006-08-04,12,150
26263,325,2006-04-27,5,249
15,631,2005-11-17,8,410
834,678,2006-11-13,7,49
20818,856,2006-08-27,9,127
18512,454,2006-12-05,7,27
13508,524,2006-05-27,6,219
23388,1386,2006-10-21,14,72
20140,351,2005-10-06,5,452
15542,1216,2006-12-27,14,5
26542,1070,2006-01-01,10,365
37178,1289,2006-08-30,12,124
37193,549,2006-11-22,8,40
14896,1326,2006-08-11,14,143
19596,1070,2006-10-28,12,65
3890,927,2006-01-22,13,344
20002,880,2006-10-17,9,76
9803,925,2006-06-23,13,192
6956,756,2006-09-19,6,104
559,1058,2006-12-21,9,11
7280,1178,2006-12-28,14,4
20968,1281,2006-08-08,13,146
17641,383,2006-08-26,5,128
18511,658,2006-05-14,9,232
25192,601,2006-07-14,6,171
26511,987,2006-08-11,7,143
8451,632,2006-04-22,11,254
36872,1385,2006-01-30,14,336
7900,459,2005-12-24,6,373
8046,1054,2006-04-09,13,267
31073,509,2006-08-09,9,145
25697,810,2005-10-27,7,431
26782,966,2006-07-24,9,161
9863,1182,2006-08-06,12,148
12188,918,2006-07-14,9,171
33608,797,2006-11-07,7,55
9727,1579,2006-11-25,15,37
27437,1474,2006-10-13,15,80
8757,849,2006-07-07,10,178
39686,159,2005-12-28,3,369
21101,905,2006-07-04,13,181
24095,1848,2006-06-26,16,189
37981,1174,2006-12-25,14,7
29917,723,2006-06-28,9,187
17485,637,2006-12-24,8,8
2449,1021,2006-09-01,14,122
22129,1360,2006-09-07,10,116
12435,965,2006-05-20,9,226
17878,1322,2006-07-09,18,176
28473,967,2006-10-31,13,62
609,517,2006-09-09,6,114
2535,1725,2006-05-28,15,218
1235,419,2006-08-03,7,151
25612,296,2006-02-16,5,319
13720,969,2006-06-06,12,209
31879,873,2006-07-08,11,177
13101,755,2006-08-28,9,126
25433,850,2005-11-16,6,411
8269,1341,2006-10-11,14,82
7558,1240,2006-10-13,11,80
9488,1045,2006-03-27,9,280
32460,242,2006-08-04,4,150
28836,1928,2006-12-02,15,30
26825,884,2006-11-16,10,46
12828,1188,2006-10-03,11,90
5209,842,2006-09-05,11,118
19878,957,2006-07-19,9,166
14800,1242,2006-09-12,14,111
2374,1195,2006-06-23,12,192
7800,1348,2006-10-01,13,92
8636,755,2006-03-22,7,285
9478,810,2006-01-19,8,347
32664,1368,2006-07-19,12,166
13231,488,2006-04-27,5,249
11672,433,2006-06-30,3,185
11327,634,2006-11-17,7,45
39220,874,2005-07-24,8,526
18559,781,2006-09-24,7,99
3983,848,2006-10-30,9,63
31298,1269,2006-06-21,15,194
35871,699,2006-08-23,10,131
12298,1119,2006-03-30,9,277
16213,777,2006-08-15,8,139
6100,846,2006-09-27,7,96
25767,1246,2006-11-22,14,40
26556,1434,2006-09-16,15,107
23675,711,2005-09-24,6,464
36655,1631,2006-08-28,16,126
9898,972,2006-06-28,11,187
30084,790,2006-10-30,7,63
17529,535,2006-08-20,7,134
32170,133,2006-02-25,2,310
9335,795,2005-09-28,7,460
25350,741,2006-08-19,8,135
21271,649,2006-11-05,8,57
413,1183,2006-10-28,11,65
19098,732,2006-09-06,7,117
12907,1054,2006-11-02,9,60
24536,1170,2006-08-25,10,129
28933,991,2006-11-26,12,36
2925,773,2005-10-13,12,445
31240,469,2005-11-09,7,418
38089,207,2005-06-26,2,554
26392,655,2006-08-08,8,146
24315,1032,2006-09-05,11,118
12535,770,2005-09-15,11,473
29510,833,2006-10-24,9,69
37299,524,2006-07-24,7,161
2088,514,2006-04-24,8,252
11205,310,2006-09-08,4,115
20132,1031,2006-08-09,13,145
26480,769,2005-07-04,7,546
21207,1420,2006-03-31,14,276
17378,559,2005-12-14,8,383
15200,507,2006-07-02,9,183
3733,1200,2006-08-28,15,126
7438,566,2006-11-09,6,53
24008,862,2006-01-09,13,357
14664,975,2006-09-20,9,103
2029,710,2006-06-03,7,212
1767,662,2006-07-18,8,167
21795,840,2006-07-03,8,182
16941,968,2006-02-01,10,334
31498,1241,2006-07-20,10,165
13362,933,2006-11-16,9,46
7386,914,2006-07-19,9,166
24326,1014,2006-04-30,9,246
34467,814,2006-11-07,10,55
35391,1554,2006-04-23,12,253
36657,949,2006-07-01,11,184
28101,827,2006-07-27,9,158
12334,1493,2006-11-20,16,42
30581,1247,2006-05-31,13,215
1576,752,2006-06-23,7,192
30801,1354,2006-05-01,13,245
36472,734,2006-04-17,7,259
27501,1189,2006-09-21,14,102
16947,672,2005-12-11,8,386
13151,1362,2006-12-27,14,5
25030,475,2006-09-16,9,107
14273,893,2006-10-20,11,73
6101,430,2006-10-13,6,80
27889,991,2006-08-26,9,128
1626,656,2006-10-31,6,62
16596,860,2006-06-02,10,213
25576,754,2005-12-30,10,367
1750,1444,2006-09-25,14,98
30760,311,2006-07-28,8,157
33441,1140,2006-07-20,12,165
26397,1471,2006-08-13,15,141
16315,566,2005-12-19,8,378
27229,389,2005-11-07,4,420
35558,1340,2006-10-27,14,66
20278,129,2005-06-06,3,574
32731,1203,2006-06-02,13,213
30628,1274,2006-08-10,14,144
17055,1604,2006-06-18,13,197
9716,748,2006-09-08,7,115
37186,550,2006-01-24,6,342
23241,1250,2006-02-01,12,334
19605,733,2006-08-09,9,145
5964,2112,2005-12-23,19,374
3018,1112,2006-06-08,9,207
27911,1320,2006-08-08,13,146
1175,1014,2006-08-07,9,147
13499,1086,2006-09-06,11,117
2835,706,2006-09-14,10,109
24752,633,2006-06-01,8,214
10287,624,2006-07-21,5,164
39674,1263,2006-12-02,13,30
13209,1021,2005-11-27,10,400
35434,1361,2006-09-17,14,106
18664,653,2005-09-19,8,469
11506,1195,2006-04-05,12,271
7047,806,2006-01-22,9,344
16459,864,2006-10-13,9,80
30536,773,2006-11-05,7,57
23840,1632,2006-06-18,14,197
22616,1102,2006-09-03,10,120
4970,688,2005-11-25,8,402
38405,623,2006-06-14,7,201
13252,1309,2005-12-19,13,378
17579,305,2005-06-24,4,556
391,862,2006-07-27,9,158
32847,1577,2006-08-07,13,147
